Sample ID,Location,Consensus Lineage Sum,Consensus Lineage Proportion,Consensus Lineage: 25 species (79.34%) > 1%; 141 species < 1% (20.17%),Common Name,Rank Scientific,Taxonomic Frequency,Interpretation
S005751.Schneider,"XXXXXX,XX",99.51%,15.38%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Quercus; ; s__,Oaks,Genus,2,2 occurrences of Oaks genus represent 15.38% of sample
,,,0.16%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Cornales; o__Cornaceae; f__Cornoideae; g__Cornus; s__Cornus_florida;,,,1,
,,,0.15%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; ; g__; s__,,,1,
,,,0.14%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Lamiales; o__Oleaceae; f__; g__Fraxinus; s__Fraxinus_nigra;,,,1,
,,,0.12%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Vitales; o__Vitaceae; f__; g__Parthenocissus; ; s__,,,1,
,,,0.12%,d__Viridiplantae; k__Streptophyta; p__; c__Saxifragales; o__Paeoniaceae; f__; g__Paeonia; ; s__,,,1,
,,,0.12%,d__Viridiplantae; k__Streptophyta; p__; c__Ranunculales; o__Papaveraceae; f__; g__Chelidonium; s__Chelidonium_majus;,,,1,
,,,0.11%,d__Viridiplantae; k__Streptophyta; p__Pinidae; c__Pinales; o__Pinaceae; f__; g__Picea; ; s__,,,2,
,,,0.11%,d__Viridiplantae; k__Streptophyta; p__; c__Saxifragales; o__Saxifragaceae; f__; g__Astilbe; ; s__,,,2,
,,,0.11%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Sapindales; o__Aceraceae; f__; g__Acer; s__Acer_saccharinum;,,,1,
,,,0.10%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Ericales; o__Theaceae; f__; g__Stewartia; ; s__,,,2,
,,,0.10%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Poissonia; s__Poissonia_heterantha;,,,1,
,,,0.10%,d__Viridiplantae; k__Streptophyta; p__; c__Asparagales; o__Iridaceae; f__; g__Babiana; ; s__,,,1,
,,,0.10%,d__Viridiplantae; k__Streptophyta; ; p__; c__; o__; f__; g__; s__,,,1,
,,,0.09%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Lamiales; o__Oleaceae; f__; g__Ligustrum; s__Ligustrum_ovalifolium;,,,1,
,,,0.09%,d__Viridiplantae; k__Streptophyta; p__; c__Magnoliales; o__Annonaceae; f__; g__Desmos; s__Desmos_goezeanus;,,,1,
,,,0.08%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Rosales; o__Rosaceae; f__Rosoideae; ; g__; s__,,,1,
,,,0.08%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Cichorioideae; ; g__; s__,,,1,
,,,0.08%,d__Viridiplantae; k__Streptophyta; p__; c__Magnoliales; o__Magnoliaceae; f__; g__Magnolia; s__Magnolia_sieboldii;,,,1,
,,,0.07%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Lamiales; o__Lamiaceae; f__Nepetoideae; ; g__; s__,,,2,
,,,0.06%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Vitales; o__Vitaceae; f__; g__Cissus; ; s__,,,1,
,,,0.06%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Quercus; s__Quercus_robur;,,,1,
,,,0.05%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; ; g__; s__,,,3,
,,,0.05%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Sapindales; o__Rutaceae; f__; g__Phellodendron; s__Phellodendron_amurense;,,,1,
,,,0.05%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Sapindales; o__Aceraceae; f__; g__Acer; s__Acer_tataricum;,,,1,
,,,0.05%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Dipsacales; o__Adoxaceae; f__; g__Sambucus; s__Sambucus_javanica;,,,1,
,,,0.05%,d__Viridiplantae; k__Streptophyta; p__; c__Ranunculales; o__Lardizabalaceae; f__Lardizabaloideae; ; g__; s__,,,1,
,,,0.04%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Rosales; o__Rosaceae; f__Rosoideae; g__Rosa; ; s__,,,2,
,,,0.04%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Celastrales; o__Celastraceae; f__; g__Salacia; s__Salacia_grandifolia;,,,1,
,,,0.04%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Lamiales; o__Lamiaceae; f__Lamioideae; g__Lamium; s__Lamium_galeobdolon;,,,1,
,,,0.04%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Cornales; o__Hydrangeaceae; f__; g__Hydrangea; s__Hydrangea_paniculata;,,,1,
,,,0.03%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Fagus; ; s__,,,2,
,,,0.03%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Sapindales; o__Anacardiaceae; f__; g__Smodingium; s__Smodingium_argutum;,,,1,
,,,0.03%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Bauhinia; s__Bauhinia_ungulata;,,,1,
,,,0.03%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Celastrales; o__Celastraceae; f__; g__Brexiella; s__Brexiella_longipes;,,,1,
,,,0.03%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Lamiales; o__Scrophulariaceae; f__; g__Buddleja; ; s__,,,1,
,,,0.03%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Lamiales; o__Plantaginaceae; f__; g__Plantago; s__Plantago_rigida;,,,1,
,,,0.03%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Dipsacales; o__Adoxaceae; f__; g__Viburnum; s__Viburnum_lantana;,,,1,
,,,0.03%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Dipsacales; o__Adoxaceae; f__; g__Sambucus; ; s__,,,1,
,,,0.03%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Campanulaceae; f__; g__Campanula; s__Campanula_bononiensis;,,,1,
,,,0.03%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Aquifoliales; o__Aquifoliaceae; ; f__; g__; s__,,,1,
,,,0.03%,d__Viridiplantae; k__Streptophyta; p__; c__Nymphaeales; o__Cabombaceae; f__; g__Brasenia; s__Brasenia_schreberi;,,,1,
,,,0.03%,d__Viridiplantae; k__Streptophyta; p__; c__Magnoliales; o__Magnoliaceae; f__; g__Liriodendron; s__Liriodendron_tulipifera;,,,1,
,,,0.02%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Sapindales; o__Anacardiaceae; ; f__; g__; s__,,,2,
,,,0.02%,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; g__Festuca; ; s__,,,2,
,,,0.02%,d__Viridiplantae; k__Streptophyta; p__; c__Ranunculales; o__Ranunculaceae; f__Ranunculoideae; g__Actaea; s__Actaea_racemosa;,,,2,
,,,0.02%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Sapindales; o__Aceraceae; f__; g__Acer; s__Acer_campestre;,,,1,
,,,0.02%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Rosales; o__Rosaceae; f__Maloideae; g__Prunus; s__Prunus_oblonga;,,,1,
,,,0.02%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Rosales; o__Rosaceae; f__Maloideae; g__Prunus; s__Prunus_armeniaca;,,,1,
,,,0.02%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Juglandaceae; ; f__; g__; s__,,,1,
,,,0.02%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Quercus; s__Quercus_mongolica;,,,1,
,,,0.02%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Fagus; s__Fagus_crenata;,,,1,
,,,0.02%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Chrysolepis; s__Chrysolepis_sempervirens;,,,1,
,,,0.02%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Cucurbitales; o__Begoniaceae; f__; g__Begonia; s__Begonia_cavallyensis;,,,1,
,,,0.02%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Celastrales; o__Celastraceae; f__; g__Elachyptera; s__Elachyptera_holtzii;,,,1,
,,,0.02%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Lamiales; o__Oleaceae; f__; g__Osmanthus; ; s__,,,1,
,,,0.02%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Dipsacales; o__Adoxaceae; f__; g__Viburnum; ; s__,,,1,
,,,0.02%,d__Viridiplantae; k__Streptophyta; p__; c__Saxifragales; o__Paeoniaceae; f__; g__Paeonia; s__Paeonia_lactiflora;,,,1,
,,,0.02%,d__Viridiplantae; k__Streptophyta; p__; c__Ranunculales; o__Papaveraceae; f__; g__Macleaya; s__Macleaya_cordata;,,,1,
,,,0.02%,d__Viridiplantae; k__Streptophyta; p__; c__Ranunculales; o__Lardizabalaceae; f__Lardizabaloideae; g__Akebia; ; s__,,,1,
,,,0.02%,d__Viridiplantae; k__Streptophyta; p__; c__Nymphaeales; o__Nymphaeaceae; f__; g__Nymphaea; s__Nymphaea_mexicana;,,,1,
,,,0.02%,d__Viridiplantae; k__Streptophyta; p__; c__Magnoliales; o__Magnoliaceae; ; f__; g__; s__,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Vitales; o__Vitaceae; f__; g__Vitis; s__Vitis_rotundifolia;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Vitales; o__Vitaceae; f__; g__Cissus; s__Cissus_tweediana;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Sapindales; o__Anacardiaceae; f__; g__Toxicodendron; s__Toxicodendron_hookeri;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Sapindales; o__Aceraceae; f__; g__Acer; s__Acer_pseudosieboldianum;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Sapindales; o__Aceraceae; f__; g__Acer; s__Acer_pseudoplatanus;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Sapindales; o__Aceraceae; f__; g__Acer; s__Acer_palmatum;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Rosales; o__Rosaceae; f__Maloideae; g__Pyrus; s__Pyrus_communis;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Rosales; o__Rosaceae; f__Maloideae; g__Prunus; s__Prunus_serotina;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Oxalidales; o__Elaeocarpaceae; f__; g__Sloanea; ; s__,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Malvales; o__Malvaceae; f__Tilioideae; g__Tilia; ; s__,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Malpighiales; o__Salicaceae; f__; g__Salix; s__Salix_babylonica;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Malpighiales; o__Salicaceae; f__; g__Populus; ; s__,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Juglandaceae; f__; g__Annamocarya; s__Annamocarya_sinensis;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Quercus; s__Quercus_petraea;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Quercus; s__Quercus_mexicana;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Fagus; s__fossil_Fagus_pollen;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Fagus; s__Fagus_sylvatica;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Castanopsis; s__Castanopsis_chinensis;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Cucurbitales; o__Begoniaceae; f__; g__Begonia; s__Begonia_solananthera;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Celastrales; o__Celastraceae; f__; g__Salacia; s__Salacia_gerrardii;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Celastrales; o__Celastraceae; f__; g__Salacia; s__Salacia_arborea;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Celastrales; o__Celastraceae; f__; g__Hylenaea; s__Hylenaea_praecelsa;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Celastrales; o__Celastraceae; f__; g__Euonymus; s__Euonymus_japonicus;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__Pinidae; c__Pinales; o__Pinaceae; f__; g__Picea; s__Picea_neoveitchii;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; g__Trisetum; s__Trisetum_flavescens;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Lamiales; o__Oleaceae; f__; g__Syringa; s__Syringa_pubescens;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Lamiales; o__Oleaceae; f__; g__Notelaea; s__Notelaea_punctata;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Lamiales; o__Oleaceae; f__; g__Fraxinus; ; s__,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Lamiales; o__Bignoniaceae; f__; g__Incarvillea; s__Incarvillea_sinensis;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Lamiales; o__Bignoniaceae; f__; g__Campsis; s__Campsis_radicans;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Ericales; o__Pentaphylacaceae; ; f__; g__; s__,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Dipsacales; o__Caprifoliaceae; f__; g__Lonicera; s__Lonicera_trichosantha;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Carduoideae; g__Tyrimnus; s__Tyrimnus_leucographus;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Carduoideae; g__Cirsium; ; s__,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Carduoideae; g__Carduus; s__Carduus_pycnocephalus;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; g__Achillea; ; s__,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Aquifoliales; o__Aquifoliaceae; f__; g__Ilex; s__Ilex_wilsonii;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Aquifoliales; o__Aquifoliaceae; f__; g__Ilex; s__Ilex_sp__Erixon_and_Bremer_52;,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__; c__Saxifragales; o__Saxifragaceae; ; f__; g__; s__,,,1,
,,,0.01%,d__Viridiplantae; k__Streptophyta; p__; c__Ranunculales; o__Papaveraceae; f__Papaveroideae; g__Bocconia; s__Bocconia_frutescens;,,,1,
